0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y
0.7769372863,1963.,0.7771673603,2017.,0.7773442668,1987.,0.7775073451,11164.
0.7820113105,1947.,0.7821433944,2013.,0.7823210163,2014.,0.7824833793,12158.
0.7871542377,1942.,0.787263195,1997.,0.7874741954,2032.,0.7876131935,13124.
0.7921433849,1948.,0.7922773761,1975.,0.7924023075,2044.,0.7925384445,14062.
0.7971401615,1970.,0.7973170680,1959.,0.7974675102,2033.,0.7976105613,15000.
0.8020670814,1981.,0.8022022647,1952.,0.8023803634,2032.,0.802513401,15966.
0.8067741794,1999.,0.8068972034,1936.,0.807043354,2028.,0.8072243137,604.
0.8116803569,2012.,0.8118544025,1948.,0.8120322628,2002.,0.8121502799,1598.
0.8167663021,2021.,0.8168993396,1959.,0.8170583648,1984.,0.8171902103,2690.
0.8217807216,2036.,0.8219659728,1960.,0.8221011562,1969.,0.8222353858,3796.
0.8269243640,2034.,0.8270292682,1979.,0.8271654052,1960.,0.8273044033,4818.
0.8318713111,2036.,0.8320272369,1992.,0.8321643276,1936.,0.8323433799,5826.
0.8368080062,2030.,0.8369422359,2010.,0.8371172351,1930.,0.8372211856,6722.
0.8417416019,2009.,0.8418949050,2028.,0.8420300884,1929.,0.8422141475,7688.
0.8469241065,1989.,0.8470700187,2035.,0.8471982879,1946.,0.8473372859,8654.
0.8519523544,1968.,0.8521361751,2027.,0.8522932929,1965.,0.8524492187,9690.
0.8569538993,1962.,0.857116024,2020.,0.8572571678,1980.,0.8573861522,10726.
0.8619602127,1960.,0.8621683521,2012.,0.8623483581,2001.,0.8624833030,11832.
0.8671069545,1968.,0.8672423763,1996.,0.8673773212,2009.,0.8675132198,12882.
0.8721867008,1961.,0.8723140163,1990.,0.8724491996,2027.,0.8725643558,14016.
0.8771522445,1962.,0.8773281974,1972.,0.8774712486,2039.,0.8775873584,15010.
0.8821602268,1979.,0.882319252,1948.,0.882455389,2044.,0.8826783103,15934.
0.8867247505,1998.,0.8869393272,1936.,0.8870752258,2034.,0.8872092170,488.
0.8918130798,2018.,0.8919842643,1938.,0.8921192092,2014.,0.8922543926,1482.
0.8967214031,2027.,0.8969633979,1937.,0.8970764083,1996.,0.8972113533,2462.
0.9018073482,2044.,0.9019842548,1948.,0.9021191997,1981.,0.9023056430,3456.
0.906857769,2035.,0.9070260925,1968.,0.9071631832,1959.,0.9072723789,4478.
0.9118931694,2030.,0.9120273990,1979.,0.9121601982,1959.,0.9123385353,5556.
0.9168506069,2015.,0.9170275135,2001.,0.9171905918,1950.,0.9173665447,6620.
0.9217706127,2010.,0.9219074649,2021.,0.9220812721,1939.,0.9222252769,7712.
0.9270089073,1993.,0.9271650714,2039.,0.9273193283,1933.,0.9274382991,8650.
0.9318943424,1969.,0.9320242805,2049.,0.9321613712,1953.,0.9323032302,9560.
0.9369392795,1955.,0.9371643466,2045.,0.9373033447,1969.,0.9374382896,10470.
0.9418652458,1953.,0.9419951839,2024.,0.9421313209,1993.,0.9422912998,11422.
0.9472296638,1956.,0.9473369522,2013.,0.9475739402,2006.,0.9477279586,12500.
0.9521739883,1964.,0.9523182315,1988.,0.9524581832,2013.,0.9525273246,13564.
0.9571383399,1978.,0.9573603076,1980.,0.9574940605,2019.,0.9576361579,14614.
0.9621720714,1979.,0.9623403949,1975.,0.9625652236,2009.,0.9627232952,15846.
0.9667663974,1989.,0.9669053955,1952.,0.9670832557,2026.,0.9671903057,526.
0.9717681808,2015.,0.9719841880,1942.,0.9721143646,2010.,0.9723022384,1576.
0.976757328,2025.,0.9768863124,1935.,0.9771082801,1999.,0.9772422714,2528.
0.981700222,2049.,0.9818272991,1940.,0.982057373,1979.,0.9821901721,3466.
0.9868989391,2037.,0.9870343608,1964.,0.9871323509,1963.,0.9873142642,4502.
0.9918971462,2023.,0.9920521183,1991.,0.9921882553,1952.,0.9923253459,5510.
0.9969273014,2023.,0.9970863265,1997.,0.9972203178,1942.,0.9974012775,6546.
1.0017733974,2006.,1.0019033355,2004.,1.0020382804,1953.,1.0022652549,7680.
1.0068979663,1993.,1.0070240898,2020.,1.0071602268,1954.,1.0073023242,8758.
1.011977951,1977.,1.0121212406,2023.,1.0122552318,1968.,1.0124662322,9864.
1.0169833106,1958.,1.0171633167,2029.,1.0173013610,1979.,1.0174363059,10956.
